category_name,avg_review_score
cds_dvds_musicals,4.6429
fashion_childrens_clothes,4.5
books_general_interest,4.4463
costruction_tools_tools,4.4444
flowers,4.4194
books_imported,4.4
books_technical,4.3684
food_drink,4.3154
luggage_accessories,4.3153
small_appliances_home_oven_and_coffee,4.3026
fashion_sport,4.2581
fashion_shoes,4.2337
food,4.2182
music,4.2105
cine_photo,4.2055
stationery,4.1939
pet_shop,4.1851
computers,4.175
home_appliances,4.1725
perfumery,4.1619
toys,4.1586
musical_instruments,4.1526
small_appliances,4.1492
cool_stuff,4.1463
fashion_bags_accessories,4.1447
home_appliances_2,4.1429
health_beauty,4.1428
arts_and_craftmanship,4.125
tablets_printing_image,4.1235
furniture_bedroom,4.1182
sports_leisure,4.108
industry_commerce_and_business,4.1015
signaling_and_security,4.0863
dvds_blu_ray,4.0794
auto,4.0655
housewares,4.055
costruction_tools_garden,4.0542
construction_tools_lights,4.0541
construction_tools_construction,4.0529
drinks,4.0477
garden_tools,4.0427
electronics,4.0375
consoles_games,4.0231
christmas_supplies,4.0205
market_place,4.0194
watches_gifts,4.0192
baby,4.0118
la_cuisine,4.0
agro_industry_and_commerce,4.0
fashion_underwear_beach,3.9769
air_conditioning,3.9692
kitchen_dining_laundry_garden_furniture,3.9643
telephony,3.9469
home_construction,3.94
art,3.9372
computers_accessories,3.9308
furniture_living_room,3.9044
furniture_decor,3.9035
bed_bath_table,3.8957
construction_tools_safety,3.8446
home_confort,3.8299
audio,3.8255
furniture_mattress_and_upholstery,3.8158
fashio_female_clothing,3.78
party_supplies,3.7674
fixed_telephony,3.6832
fashion_male_clothing,3.6412
home_comfort_2,3.6296
office_furniture,3.4932
diapers_and_hygiene,3.2564
security_and_services,2.5
